DF,Date,City,State,Division,Latitude,Longitude,Fatalities,Injured,Shooter Age,Shooter Age Category,Prior Mental Illness,Day of Week,Season,Male,Race/Ethnicity,AutoWeapon,School
GVData,2015-04-05,Pittsburgh,PA,Middle Atlantic,40.440934607169226,-79.98056852462629,1,3,,,nan,Sunday,Spring,,,,
GVData,2015-04-18,Williamsport,PA,Middle Atlantic,41.24067001102523,-77.00331803271702,0,5,,,nan,Saturday,Spring,,,,
GVData,2015-05-28,Chester,PA,Middle Atlantic,39.83211221240458,-75.39050177818797,1,3,,,nan,Thursday,Spring,,,,
GVData,2015-06-20,Philadelphia,PA,Middle Atlantic,39.968985269016926,-75.20737978469678,0,10,,,nan,Saturday,Summer,,,,
GVData,2015-06-21,Pittsburgh (Wilkinsburg),PA,Middle Atlantic,40.43820005396296,-79.87957992585356,0,4,,,nan,Sunday,Summer,,,,
GVData,2015-06-22,Philadelphia,PA,Middle Atlantic,39.997316191756674,-75.11629922815557,0,7,,,nan,Monday,Summer,,,,
GVData,2015-07-24,Erie,PA,Middle Atlantic,42.107492177238896,-80.07756354318423,2,5,,,nan,Friday,Summer,,,,
GVData,2015-07-30,Pittsburgh,PA,Middle Atlantic,40.45544701200821,-79.88812893807052,0,4,,,nan,Thursday,Summer,,,,
GVData,2015-08-15,Pittsburgh,PA,Middle Atlantic,40.447576212030675,-80.07408595231281,1,3,,,nan,Saturday,Summer,,,,
GVData,2015-09-20,Philadelphia,PA,Middle Atlantic,40.030704988180986,-75.0929809618243,1,3,,,nan,Sunday,Fall,,,,
GVData,2015-11-14,Johnstown,PA,Middle Atlantic,40.343567989926576,-78.88330599241112,0,4,,,nan,Saturday,Fall,,,,
GVData,2015-11-15,Philadelphia,PA,Middle Atlantic,40.04856616490193,-75.16078135534019,0,4,,,nan,Sunday,Fall,,,,
GVData,2015-11-20,Pittsburgh,PA,Middle Atlantic,40.43143890941216,-79.93620108946993,1,3,,,nan,Friday,Fall,,,,
GVData,2015-12-11,Pittsburgh (Mount Oliver),PA,Middle Atlantic,40.41466700352759,-79.98789130733734,0,4,,,nan,Friday,Winter,,,,
GVData,2015-12-26,Philadelphia,PA,Middle Atlantic,40.014222017495996,-75.12109202105603,0,4,,,nan,Saturday,Winter,,,,
VPData,2016-03-09,Wilkinsburg,PA,Middle Atlantic,40.43819200733592,-79.87291698338134,6,3,999.0,Multiple Shooters,nan,Wednesday,Spring,,,,0.0
GVData,2016-04-17,Philadelphia,PA,Middle Atlantic,39.998583215299924,-75.11747494936597,3,1,,,nan,Sunday,Spring,,,,
GVData,2016-07-04,Pittsburgh,PA,Middle Atlantic,40.44307002352693,-79.99746988527359,0,4,,,nan,Monday,Summer,,,,
GVData,2016-08-06,Reading (Sinking Spring),PA,Middle Atlantic,40.33175600242416,-76.02429799550413,5,0,,,nan,Saturday,Summer,,,,
GVData,2016-08-11,Philadelphia,PA,Middle Atlantic,40.03772107782393,-75.16025272095314,0,4,,,nan,Thursday,Summer,,,,
GVData,2016-09-05,Reading,PA,Middle Atlantic,40.34543391084864,-75.91892655161507,0,4,,,nan,Monday,Fall,,,,
GVData,2016-09-16,Philadelphia,PA,Middle Atlantic,39.95755487175593,-75.2245629541514,2,5,,,nan,Friday,Fall,,,,
GVData,2016-09-18,Philadelphia,PA,Middle Atlantic,39.98590400907486,-75.0864490284987,0,4,,,nan,Sunday,Fall,,,,
GVData,2016-09-18,Pittsburgh,PA,Middle Atlantic,40.459327435516244,-80.01757800922469,0,4,,,nan,Sunday,Fall,,,,
GVData,2016-11-04,Philadelphia,PA,Middle Atlantic,39.93999900759198,-75.22550698147411,0,4,,,nan,Friday,Fall,,,,
GVData,2017-02-18,Philadelphia,PA,Middle Atlantic,39.961396768125404,-75.22963383128156,0,4,,,nan,Saturday,Winter,,,,
GVData,2017-03-03,Philadelphia,PA,Middle Atlantic,40.060187997324476,-75.19068604111237,0,4,,,nan,Friday,Spring,,,,
GVData,2017-04-03,Philadelphia,PA,Middle Atlantic,39.97176556566141,-75.1548649127427,3,1,,,nan,Monday,Spring,,,,
GVData,2017-04-15,Philadelphia,PA,Middle Atlantic,40.040375187331904,-75.11616945220467,0,4,,,nan,Saturday,Spring,,,,
GVData,2017-04-28,Chester,PA,Middle Atlantic,39.86360298928972,-75.3665159900517,0,4,,,nan,Friday,Spring,,,,
GVData,2017-05-20,Philadelphia,PA,Middle Atlantic,39.99398346518107,-75.16802643731243,0,10,,,nan,Saturday,Spring,,,,
MJData,2017-06-07,Tunkhannock,PA,Middle Atlantic,41.529546,-75.94722,3,0,24.0,20s,Unknown,Wednesday,Summer,Male,White,0.0,0.0
GVData,2017-07-15,Philadelphia,PA,Middle Atlantic,39.943250054467114,-75.1773698791756,1,3,,,nan,Saturday,Summer,,,,
GVData,2017-08-13,Philadelphia,PA,Middle Atlantic,39.964890032990326,-75.19994988813994,0,5,,,nan,Sunday,Summer,,,,
GVData,2017-09-13,York,PA,Middle Atlantic,39.95681304759232,-76.72266649687695,0,4,,,nan,Wednesday,Fall,,,,
GVData,2017-09-13,Philadelphia,PA,Middle Atlantic,39.99914534804033,-75.1333525381454,0,4,,,nan,Wednesday,Fall,,,,
GVData,2017-09-24,Philadelphia,PA,Middle Atlantic,40.00064253675728,-75.1124407855908,0,4,,,nan,Sunday,Fall,,,,
GVData,2017-09-26,Philadelphia,PA,Middle Atlantic,40.037959440279046,-75.18275896057823,1,3,,,nan,Tuesday,Fall,,,,
GVData,2017-10-21,Chester,PA,Middle Atlantic,39.847102562386866,-75.38266946032957,0,4,,,nan,Saturday,Fall,,,,
GVData,2017-11-09,Philadelphia,PA,Middle Atlantic,39.983163430595326,-75.17423072164101,0,4,,,nan,Thursday,Fall,,,,
GVData,2017-12-04,Pittsburgh,PA,Middle Atlantic,40.4628462817681,-79.89219728273339,2,2,,,nan,Monday,Winter,,,,
GVData,2017-12-21,Philadelphia,PA,Middle Atlantic,39.91770920433036,-75.2285067096795,1,3,,,nan,Thursday,Winter,,,,
GVData,2018-01-23,Philadelphia,PA,Middle Atlantic,39.98169004916292,-75.17388988061523,0,4,,,nan,Tuesday,Winter,,,,
GVData,2018-01-28,Reading,PA,Middle Atlantic,40.33306098092956,-75.9316969923357,4,0,,,nan,Sunday,Winter,,,,
VPData,2018-01-28,Melcroft,PA,Middle Atlantic,40.06146458567013,-79.37079047697564,5,1,28.0,20s,No,Sunday,Winter,Male,White,1.0,0.0
GVData,2018-04-21,Philadelphia,PA,Middle Atlantic,39.98567658767736,-75.16407229318885,2,2,,,nan,Saturday,Spring,,,,
GVData,2018-06-09,Philadelphia,PA,Middle Atlantic,39.98552387005476,-75.16627572140342,1,4,,,nan,Saturday,Summer,,,,
GVData,2018-06-14,Philadelphia,PA,Middle Atlantic,40.02542090258714,-75.17686738376938,0,4,,,nan,Thursday,Summer,,,,
GVData,2018-06-22,Homestead (Munhall),PA,Middle Atlantic,40.404016012514006,-79.90289603355475,1,3,,,nan,Friday,Summer,,,,
GVData,2018-07-16,Philadelphia,PA,Middle Atlantic,39.98427573227461,-75.14006180199694,1,4,,,nan,Monday,Summer,,,,
GVData,2018-07-29,York,PA,Middle Atlantic,39.956605473450296,-76.72063428474007,0,4,,,nan,Sunday,Summer,,,,
GVData,2018-08-08,Philadelphia,PA,Middle Atlantic,39.991870038207566,-75.15114994493833,2,4,,,nan,Wednesday,Summer,,,,
GVData,2018-08-12,Pittsburgh (East Liberty),PA,Middle Atlantic,40.464016550339906,-79.92880711799931,0,4,,,nan,Sunday,Summer,,,,
GVData,2018-08-14,Wyncote,PA,Middle Atlantic,40.08202398665344,-75.17107699772859,0,5,,,nan,Tuesday,Summer,,,,
GVData,2018-08-23,Philadelphia,PA,Middle Atlantic,40.02935778727918,-75.07842240823628,0,4,,,nan,Thursday,Summer,,,,
GVData,2018-09-19,Masontown,PA,Middle Atlantic,39.84707002055228,-79.89937001834596,1,4,,,nan,Wednesday,Fall,,,,
GVData,2018-09-28,Philadelphia,PA,Middle Atlantic,39.96494195894389,-75.22472906918988,2,2,,,nan,Friday,Fall,,,,
GVData,2018-10-03,Philadelphia,PA,Middle Atlantic,40.03061702010717,-75.16520002631712,1,4,,,nan,Wednesday,Fall,,,,
VPData,2018-10-27,Pittsburgh,PA,Middle Atlantic,40.44357201570811,-79.92123496715037,11,7,46.0,40s,No,Saturday,Fall,Male,White,1.0,0.0
GVData,2018-11-19,Philadelphia,PA,Middle Atlantic,39.947229282794474,-75.22581733229953,4,0,,,nan,Monday,Fall,,,,
GVData,2018-12-13,Philadelphia,PA,Middle Atlantic,40.02163501457386,-75.14818099101457,0,4,,,nan,Thursday,Winter,,,,
GVData,2019-01-19,Lebanon,PA,Middle Atlantic,40.34353001990519,-76.43155002800356,0,4,,,nan,Saturday,Winter,,,,
MJData,2019-01-24,State College,PA,Middle Atlantic,40.785142,-77.839411,4,1,21.0,College Age,Unknown,Thursday,Winter,Male,White,0.0,0.0
GVData,2019-04-21,Philadelphia,PA,Middle Atlantic,39.934633481063656,-75.19591610972051,0,4,,,nan,Sunday,Spring,,,,
GVData,2019-05-10,Philadelphia,PA,Middle Atlantic,39.98425866277675,-75.17095553662502,0,5,,,nan,Friday,Spring,,,,
GVData,2019-05-11,Effort,PA,Middle Atlantic,40.981360036405455,-75.47399990049844,0,4,,,nan,Saturday,Spring,,,,
GVData,2019-06-16,Philadelphia,PA,Middle Atlantic,39.91382671866841,-75.2318884405734,1,5,,,nan,Sunday,Summer,,,,
GVData,2019-06-20,Allentown,PA,Middle Atlantic,40.604694901100395,-75.4629949212844,0,10,,,nan,Thursday,Summer,,,,
GVData,2019-06-22,Philadelphia,PA,Middle Atlantic,39.9302283027205,-75.18650037863046,0,4,,,nan,Saturday,Summer,,,,
GVData,2019-07-13,Philadelphia,PA,Middle Atlantic,39.97697737975461,-75.23126576313267,0,7,,,nan,Saturday,Summer,,,,
GVData,2019-07-20,Clairton,PA,Middle Atlantic,40.29432598515149,-79.88547097886236,0,4,,,nan,Saturday,Summer,,,,
GVData,2019-07-28,Philadelphia,PA,Middle Atlantic,39.91710999814765,-75.23295136021453,1,5,,,nan,Sunday,Summer,,,,
GVData,2019-08-14,Philadelphia,PA,Middle Atlantic,40.01003999263514,-75.15298499500051,0,6,,,nan,Wednesday,Summer,,,,
GVData,2019-08-15,Philadelphia,PA,Middle Atlantic,40.042349887262006,-75.14520983884974,0,5,,,nan,Thursday,Summer,,,,
GVData,2019-08-31,Philadelphia,PA,Middle Atlantic,40.021942241386725,-75.13185195088101,2,2,,,nan,Saturday,Summer,,,,
GVData,2019-10-10,Philadelphia,PA,Middle Atlantic,39.93614641950773,-75.15209960389303,0,5,,,nan,Thursday,Fall,,,,
GVData,2019-10-12,Philadelphia,PA,Middle Atlantic,40.00372049631432,-75.14207072096264,1,3,,,nan,Saturday,Fall,,,,
GVData,2019-10-13,Philadelphia,PA,Middle Atlantic,39.99878003727588,-75.14377990511422,0,6,,,nan,Sunday,Fall,,,,
GVData,2019-10-19,Duquesne,PA,Middle Atlantic,40.36798080312293,-79.8501157899451,0,4,,,nan,Saturday,Fall,,,,
GVData,2019-10-30,Philadelphia,PA,Middle Atlantic,39.94915200395005,-75.2241330199056,4,0,,,nan,Wednesday,Fall,,,,
GVData,2020-03-10,Chester,PA,Middle Atlantic,39.83977095223843,-75.37504813789583,2,2,,,nan,Tuesday,Spring,,,,
GVData,2020-03-30,Philadelphia,PA,Middle Atlantic,39.98435045519031,-75.12290973458444,0,5,,,nan,Monday,Spring,,,,
GVData,2020-04-16,Philadelphia,PA,Middle Atlantic,40.04537004979576,-75.06072991297614,0,4,,,nan,Thursday,Spring,,,,
GVData,2020-05-02,Philadelphia,PA,Middle Atlantic,39.95704687721789,-75.2371241473083,0,4,,,nan,Saturday,Spring,,,,
GVData,2020-05-15,Philadelphia,PA,Middle Atlantic,40.020349615423854,-75.1568429183042,0,4,,,nan,Friday,Spring,,,,
GVData,2020-05-26,Philadelphia,PA,Middle Atlantic,39.993609552891506,-75.14549534138513,0,4,,,nan,Tuesday,Spring,,,,
GVData,2020-05-27,Philadelphia,PA,Middle Atlantic,39.99099553051824,-75.12084209514639,0,4,,,nan,Wednesday,Spring,,,,
GVData,2020-05-28,Philadelphia,PA,Middle Atlantic,39.966397577636826,-75.22988246604032,1,3,,,nan,Thursday,Spring,,,,
GVData,2020-05-31,Philadelphia,PA,Middle Atlantic,39.99521830543765,-75.11649039733491,0,4,,,nan,Sunday,Spring,,,,
GVData,2020-06-09,Philadelphia,PA,Middle Atlantic,39.96389541037506,-75.15149233178579,1,6,,,nan,Tuesday,Summer,,,,
GVData,2020-06-12,Philadelphia,PA,Middle Atlantic,40.01561006066186,-75.14982987900723,0,6,,,nan,Friday,Summer,,,,
GVData,2020-06-25,Philadelphia,PA,Middle Atlantic,39.99843005090878,-75.10328994835879,0,4,,,nan,Thursday,Summer,,,,
GVData,2020-06-28,Philadelphia,PA,Middle Atlantic,39.98960206214311,-75.12101505657641,2,2,,,nan,Sunday,Summer,,,,
GVData,2020-07-05,Ephrata,PA,Middle Atlantic,40.18473800746014,-76.15219997062916,0,4,,,nan,Sunday,Summer,,,,
GVData,2020-07-31,Philadelphia,PA,Middle Atlantic,39.9764251618286,-75.17782134594961,2,2,,,nan,Friday,Summer,,,,
GVData,2020-08-02,Philadelphia,PA,Middle Atlantic,39.99618415648808,-75.117115688431,0,4,,,nan,Sunday,Summer,,,,
GVData,2020-08-08,Philadelphia,PA,Middle Atlantic,39.97328414463377,-75.19917524978851,0,6,,,nan,Saturday,Summer,,,,
GVData,2020-08-15,Philadelphia,PA,Middle Atlantic,39.96625003869005,-75.15351992806119,0,5,,,nan,Saturday,Summer,,,,
GVData,2020-08-18,Philadelphia,PA,Middle Atlantic,39.99419002327798,-75.180849877736,1,4,,,nan,Tuesday,Summer,,,,
GVData,2020-08-19,Philadelphia,PA,Middle Atlantic,39.94855910480045,-75.23340992383972,0,4,,,nan,Wednesday,Summer,,,,
GVData,2020-08-26,Philadelphia,PA,Middle Atlantic,40.04371436314678,-75.16206098257733,0,4,,,nan,Wednesday,Summer,,,,
GVData,2020-08-28,Chester,PA,Middle Atlantic,39.82998247636111,-75.39169145649144,1,3,,,nan,Friday,Summer,,,,
GVData,2020-08-30,Philadelphia,PA,Middle Atlantic,40.028949985294105,-75.08498999061295,0,4,,,nan,Sunday,Summer,,,,
GVData,2020-08-31,Philadelphia,PA,Middle Atlantic,40.000253190780676,-75.15577620945926,0,5,,,nan,Monday,Summer,,,,
GVData,2020-09-02,Philadelphia,PA,Middle Atlantic,39.92891327030446,-75.17649459094724,2,2,,,nan,Wednesday,Fall,,,,
GVData,2020-09-03,Philadelphia,PA,Middle Atlantic,40.04528157391318,-75.1649441290637,0,6,,,nan,Thursday,Fall,,,,
GVData,2020-09-12,Philadelphia,PA,Middle Atlantic,39.98864002990939,-75.16233995331561,0,4,,,nan,Saturday,Fall,,,,
GVData,2020-09-16,Philadelphia,PA,Middle Atlantic,39.96574800459936,-75.16750999501325,2,3,,,nan,Wednesday,Fall,,,,
GVData,2020-09-25,Philadelphia,PA,Middle Atlantic,40.02678984410035,-75.0788049360539,0,4,,,nan,Friday,Fall,,,,
GVData,2020-09-26,Philadelphia,PA,Middle Atlantic,39.962498679167396,-75.22576553168324,0,4,,,nan,Saturday,Fall,,,,
GVData,2020-09-29,Philadelphia,PA,Middle Atlantic,40.02324802209243,-75.15641586414246,0,5,,,nan,Tuesday,Fall,,,,
GVData,2020-10-08,Philadelphia,PA,Middle Atlantic,40.01974401530797,-75.0806680298786,1,6,,,nan,Thursday,Fall,,,,
GVData,2020-10-14,Philadelphia,PA,Middle Atlantic,39.919475363849,-75.23114556589289,0,4,,,nan,Wednesday,Fall,,,,
GVData,2020-12-01,Morrisville,PA,Middle Atlantic,40.19618898639278,-74.81559201833586,1,3,,,nan,Tuesday,Winter,,,,
GVData,2021-01-15,Philadelphia,PA,Middle Atlantic,40.02900845372195,-75.13987076405249,0,4,,,nan,Friday,Winter,,,,
GVData,2021-01-18,Tobyhanna,PA,Middle Atlantic,41.189025626867725,-75.35640357796044,0,4,,,nan,Monday,Winter,,,,
GVData,2021-01-29,Mc Kees Rocks (Mckees Rocks),PA,Middle Atlantic,40.47381107453228,-80.06329071597223,2,3,,,nan,Friday,Winter,,,,
GVData,2021-02-05,Mohnton,PA,Middle Atlantic,40.2922839858999,-75.9783250167865,1,3,,,nan,Friday,Winter,,,,
GVData,2021-02-17,Philadelphia,PA,Middle Atlantic,40.03872857998936,-75.14466501428916,0,8,,,nan,Wednesday,Winter,,,,
GVData,2021-02-20,Norristown (East Norriton),PA,Middle Atlantic,40.14615501749617,-75.31646102448761,1,4,,,nan,Saturday,Winter,,,,
GVData,2021-03-03,Erie,PA,Middle Atlantic,42.1337379897636,-80.02952395939711,2,3,,,nan,Wednesday,Spring,,,,
GVData,2021-03-11,Philadelphia,PA,Middle Atlantic,39.97427790424173,-75.26733855606815,2,2,,,nan,Thursday,Spring,,,,
GVData,2021-03-20,Philadelphia,PA,Middle Atlantic,40.018939981245865,-75.15599895974434,1,5,,,nan,Saturday,Spring,,,,
GVData,2021-03-26,Philadelphia,PA,Middle Atlantic,39.96568339505977,-75.13248116368341,0,7,,,nan,Friday,Spring,,,,
GVData,2021-05-02,Philadelphia,PA,Middle Atlantic,40.015199920585495,-75.06959016471545,1,3,,,nan,Sunday,Spring,,,,
VPData,1978-06-17,Warwick,RI,New England,41.724742982408365,-71.44082196589599,5,0,48.0,40s,Yes,Saturday,Summer,Male,Asian,0.0,0.0
GVData,2014-07-08,Providence,RI,New England,41.841647020467406,-71.42493800792141,0,5,,,nan,Tuesday,Summer,,,,
GVData,2015-06-19,Woonsocket,RI,New England,42.00038199406134,-71.51771796472265,0,4,,,nan,Friday,Summer,,,,
STData,1979-10-06,Columbia,SC,South Atlantic,34.05098834,-80.82077527,2,5,19.0,College Age,Unknown,Saturday,Fall,Male,Black,0.0,1.0
STData,1983-08-19,Johnston,SC,South Atlantic,33.83272887,-81.8051584,1,3,55.0,50s,Yes,Friday,Summer,Male,White,0.0,0.0
STData,1988-09-26,Greenwood,SC,South Atlantic,34.1928952,-82.15355508,2,9,19.0,College Age,Yes,Monday,Fall,Male,White,0.0,1.0
VPData,1997-09-15,Aiken ,SC,South Atlantic,33.581491881521536,-81.72400747031797,4,3,43.0,40s,No,Monday,Fall,Male,Black,1.0,0.0
GVData,2014-03-05,Pelzer,SC,South Atlantic,34.63932326231097,-82.45273397526844,3,1,,,nan,Wednesday,Spring,,,,
GVData,2014-03-21,North Charleston,SC,South Atlantic,32.90353944194668,-80.07886688228643,0,4,,,nan,Friday,Spring,,,,
GVData,2014-05-24,Myrtle Beach,SC,South Atlantic,33.68372501976961,-78.88731497288093,3,1,,,nan,Saturday,Spring,,,,
GVData,2014-06-07,Moncks Corner,SC,South Atlantic,33.169182683883484,-80.13321215561308,1,5,,,nan,Saturday,Summer,,,,
GVData,2014-09-26,Florence,SC,South Atlantic,34.25834999618044,-79.7684799785579,1,4,,,nan,Friday,Fall,,,,
GVData,2014-09-29,Walterboro,SC,South Atlantic,32.885265007095995,-80.62051502085316,1,7,,,nan,Monday,Fall,,,,
GVData,2014-10-18,Graniteville,SC,South Atlantic,33.56748613730717,-81.84337415531347,1,3,,,nan,Saturday,Fall,,,,
GVData,2015-02-22,Charleston,SC,South Atlantic,32.854198530714115,-80.0058337673572,0,4,,,nan,Sunday,Winter,,,,
GVData,2015-03-08,Seneca,SC,South Atlantic,34.65395778673055,-82.941143465127,1,3,,,nan,Sunday,Spring,,,,
VPData,2015-06-17,Charleston ,SC,South Atlantic,32.78744673020553,-79.93303727355462,9,1,21.0,College Age,Yes,Wednesday,Summer,Male,White,0.0,0.0
GVData,2015-07-15,Holly Hill,SC,South Atlantic,33.34693298365312,-80.4499510025838,4,1,,,nan,Wednesday,Summer,,,,
GVData,2015-08-06,Columbia,SC,South Atlantic,34.011715640250856,-81.01189072471519,0,4,,,nan,Thursday,Summer,,,,
GVData,2015-08-15,Orangeburg,SC,South Atlantic,33.47880701696445,-80.90895701242097,1,3,,,nan,Saturday,Summer,,,,
GVData,2015-08-16,Bennettsville,SC,South Atlantic,34.63372504321566,-79.69369492013645,0,5,,,nan,Sunday,Summer,,,,
GVData,2015-10-24,Bamberg,SC,South Atlantic,33.30111182623474,-81.03367701092516,0,4,,,nan,Saturday,Fall,,,,
GVData,2015-11-02,Pendleton,SC,South Atlantic,34.64739200875508,-82.74844302923813,4,0,,,nan,Monday,Fall,,,,
GVData,2015-11-22,North Charleston,SC,South Atlantic,32.881290000000035,-79.98508999999996,1,3,,,nan,Sunday,Fall,,,,
GVData,2015-11-24,Conway,SC,South Atlantic,33.87002899491695,-79.14052396972689,0,4,,,nan,Tuesday,Fall,,,,
GVData,2016-04-17,Pelzer,SC,South Atlantic,34.649174941165924,-82.43720365953573,1,3,,,nan,Sunday,Spring,,,,
STData,2016-05-17,Ravenel,SC,South Atlantic,32.763232,-80.250099,3,1,23.0,20s,Unknown,Tuesday,Spring,Male,Black,0.0,0.0
GVData,2016-06-26,Bennettsville,SC,South Atlantic,34.63372504321566,-79.69369492013645,0,4,,,nan,Sunday,Summer,,,,
STData,2016-06-26,Lyman,SC,South Atlantic,34.948174,-82.12733100000001,0,3,32.0,30s,Unknown,Sunday,Summer,Male,Black,0.0,0.0
GVData,2016-07-23,North Charleston,SC,South Atlantic,32.925399990251954,-80.08469004187951,0,4,,,nan,Saturday,Summer,,,,
GVData,2016-11-05,Myrtle Beach,SC,South Atlantic,33.693589011064546,-78.88430603727899,0,5,,,nan,Saturday,Fall,,,,
GVData,2016-11-05,Myrtle Beach,SC,South Atlantic,33.693589011064546,-78.88430603727899,0,5,,,nan,Saturday,Fall,,,,
GVData,2017-02-07,Columbia,SC,South Atlantic,34.05985814323516,-81.02502677218186,0,4,,,nan,Tuesday,Winter,,,,
GVData,2017-04-30,Loris,SC,South Atlantic,34.101676006848784,-78.97795896929594,1,5,,,nan,Sunday,Spring,,,,
GVData,2017-05-16,Ruffin,SC,South Atlantic,33.004846015481675,-80.81516896412481,3,1,,,nan,Tuesday,Spring,,,,
GVData,2017-06-18,Myrtle Beach,SC,South Atlantic,33.60800198447332,-78.96932803977715,0,7,,,nan,Sunday,Summer,,,,
GVData,2017-07-02,Greenwood,SC,South Atlantic,34.211048113853714,-82.1785508248786,0,4,,,nan,Sunday,Summer,,,,
GVData,2017-08-05,Allendale,SC,South Atlantic,33.002338313390325,-81.29580129780932,1,3,,,nan,Saturday,Summer,,,,
GVData,2017-09-16,Columbia,SC,South Atlantic,34.00128901191116,-81.03763096082845,0,8,,,nan,Saturday,Fall,,,,
GVData,2018-05-31,Timmonsville,SC,South Atlantic,34.09795800414773,-79.9828790035019,3,2,,,nan,Thursday,Spring,,,,
GVData,2018-08-15,Greenwood,SC,South Atlantic,34.21239197915997,-82.0969639635165,0,5,,,nan,Wednesday,Summer,,,,
GVData,2018-10-03,Florence,SC,South Atlantic,34.221238994142624,-79.84736902632162,2,6,,,nan,Wednesday,Fall,,,,
GVData,2018-10-12,Spartanburg,SC,South Atlantic,34.92400001032465,-81.97926603349823,0,6,,,nan,Friday,Fall,,,,
GVData,2019-01-01,Columbia,SC,South Atlantic,34.04364700151777,-80.94165003902356,0,5,,,nan,Tuesday,Winter,,,,
GVData,2019-01-19,Gaffney,SC,South Atlantic,35.109180735611844,-81.60665282631132,1,4,,,nan,Saturday,Winter,,,,
GVData,2019-03-31,North Charleston,SC,South Atlantic,32.84630882999529,-79.96305934509188,0,7,,,nan,Sunday,Spring,,,,
GVData,2019-06-01,Allendale,SC,South Atlantic,33.00583000900495,-81.31021003299868,0,5,,,nan,Saturday,Summer,,,,
GVData,2019-06-23,Abbeville,SC,South Atlantic,34.18818500087977,-82.35756898408644,3,1,,,nan,Sunday,Summer,,,,
GVData,2019-08-22,Columbia,SC,South Atlantic,34.03051599582216,-81.10041803731602,2,2,,,nan,Thursday,Summer,,,,
GVData,2019-08-31,Moncks Corner,SC,South Atlantic,33.156227000596104,-80.03839100712834,0,4,,,nan,Saturday,Summer,,,,
GVData,2019-09-08,Sumter,SC,South Atlantic,33.950840013078796,-80.37595002929491,2,2,,,nan,Sunday,Fall,,,,
GVData,2019-09-21,Lancaster,SC,South Atlantic,34.740600388818216,-80.77724488585545,2,8,,,nan,Saturday,Fall,,,,
GVData,2019-10-21,Sumter,SC,South Atlantic,33.952313006833336,-80.37573201599331,0,4,,,nan,Monday,Fall,,,,
GVData,2020-01-26,Hartsville,SC,South Atlantic,34.36976831445759,-80.07099481122869,3,3,,,nan,Sunday,Winter,,,,
GVData,2020-03-22,Hanahan,SC,South Atlantic,32.90707004624748,-80.00236491672806,0,4,,,nan,Sunday,Spring,,,,
GVData,2020-04-05,Lancaster,SC,South Atlantic,34.70591457602179,-80.8021087025539,1,4,,,nan,Sunday,Spring,,,,
GVData,2020-04-08,Greenwood,SC,South Atlantic,34.16957101513147,-82.15960200976562,1,3,,,nan,Wednesday,Spring,,,,
GVData,2020-05-17,Charleston,SC,South Atlantic,32.791240253854184,-79.94215745476177,0,4,,,nan,Sunday,Spring,,,,
GVData,2020-05-17,Saint Matthews,SC,South Atlantic,33.629261381826836,-80.78154622993007,4,1,,,nan,Sunday,Spring,,,,
GVData,2020-05-23,Jonesville,SC,South Atlantic,34.82162580015737,-81.63423286416166,2,5,,,nan,Saturday,Spring,,,,
GVData,2020-05-24,Myrtle Beach,SC,South Atlantic,33.694700032330445,-78.8769898930923,0,4,,,nan,Sunday,Spring,,,,
GVData,2020-05-26,Bowman,SC,South Atlantic,33.34787003851862,-80.68532993117596,3,5,,,nan,Tuesday,Spring,,,,
GVData,2020-07-04,Red Oak,SC,South Atlantic,18.776095734718467,100.77393496701143,0,5,,,nan,Saturday,Summer,,,,
GVData,2020-07-05,Greenville,SC,South Atlantic,34.794113996808484,-82.42016797066674,2,8,,,nan,Sunday,Summer,,,,
GVData,2020-08-26,Hilton Head Island,SC,South Atlantic,32.192760045729926,-80.76920989936646,0,4,,,nan,Wednesday,Summer,,,,
GVData,2020-09-03,Anderson,SC,South Atlantic,34.509440047903645,-82.67044992310481,1,3,,,nan,Thursday,Fall,,,,
GVData,2020-10-10,Kingstree,SC,South Atlantic,33.68526846197645,-79.82223116601146,0,8,,,nan,Saturday,Fall,,,,
GVData,2020-10-12,Myrtle Beach,SC,South Atlantic,33.696003158776456,-78.89257892491348,2,3,,,nan,Monday,Fall,,,,
GVData,2020-10-17,Rock Hill,SC,South Atlantic,34.950539001706304,-80.99719397770109,0,5,,,nan,Saturday,Fall,,,,
GVData,2020-11-01,Hollywood,SC,South Atlantic,32.65224603165372,-80.32334952998937,0,6,,,nan,Sunday,Fall,,,,
GVData,2020-11-07,Rock Hill,SC,South Atlantic,34.91303698388535,-81.00809397222852,1,3,,,nan,Saturday,Fall,,,,
GVData,2020-11-14,Sumter,SC,South Atlantic,33.947268987049945,-80.34726103783923,3,1,,,nan,Saturday,Fall,,,,
GVData,2020-11-18,Florence,SC,South Atlantic,34.18961039328813,-79.75711957541733,0,4,,,nan,Wednesday,Fall,,,,
GVData,2020-11-28,Aiken,SC,South Atlantic,33.55214301196493,-81.6968610238735,1,10,,,nan,Saturday,Fall,,,,
GVData,2020-11-28,Conway,SC,South Atlantic,33.9261372782862,-79.03455153147328,0,5,,,nan,Saturday,Fall,,,,
GVData,2021-02-28,Mccormick,SC,South Atlantic,33.90731228277139,-82.31178720806744,0,4,,,nan,Sunday,Winter,,,,
GVData,2021-04-07,Rock Hill,SC,South Atlantic,34.85220398048507,-81.0597620350587,7,0,,,nan,Wednesday,Spring,,,,
